Component                       ,Qty  ,Mfd       ,Desciption

----Switches----
250v mouse type switch          ,1
push button                     ,8
slide switch                    ,4
dip switch - 14                 ,2

----Display Modules----
common cathode 7seg             ,1
common anode 7seg               ,4
common cathode 7*4seg           ,1
dot matrix 8*4                  ,1
dot matrix Square               ,1
16*4 LCD                        ,1
LED bar graph                   ,1

----LEDs----
RGB Commom anode                ,1
RGB Common cathode              ,1
UV                              ,2
12V 5W White (Square)           ,1
1W White                        ,2
incandescent - small            ,7
white                           ,6
blue                            ,8
green                           ,12
pink                            ,10
yellow                          ,8
red                             ,19
red 3mm                         ,8
orange                          ,8
IR 5mm                          ,1
IR 3mm                          ,2

----Oscillator----
32kHz                           ,2
8MHz                            ,1
12MHz                           ,1
16MHz                           ,1

----ICs----
AT89S52                         ,1    ,Atmel     ,8051 compatable microprocessor
ATMEGA 328-PU                   ,1    ,Microchip ,CMOS 8-bit microcontroller
ATMEGA 8A-PU                    ,1    ,Microchip ,CMOS 8-bit microcontroller
CD4001BE                        ,2    ,TI        ,CMOS NOR gate
CD4020BD                        ,1    ,HLF       ,14-stage Ripple carry binary counter/divider
CD4052BE                        ,1    ,TI        ,8:2 analog mux/demux
CD4060BE                        ,1    ,TI        ,14-stage Ripple carry binary counter/divider and oscillator
CD4066BCN                       ,1    ,          ,CMOS Quad Bilateral Switch
CD4518BE                        ,1    ,TI        ,CMOS Dual BCD Up counter
EL817                           ,3    ,          ,4 pin IR optocoupler
L293D                           ,1    ,ST        ,Quad Half-H Drivers
LM324N                          ,1    ,TI        ,Quad 32-V 1-MHz Opamp
LM358N                          ,2    ,TI        ,Low-Power Dual-opamp
LM358P                          ,1    ,TI        ,Low-Power Dual-opamp
LM386N                          ,1    ,          ,Low Voltage Audio Power Amplifier
M27C4001-12B1                   ,1    ,          ,512K*8 EEPROM
NE555P                          ,4    ,TI        ,Precision Timers
SN74HC00N                       ,2    ,          ,Quadruple 2-Input NAND Gates
SN74HC32N                       ,5    ,          ,Quadruple 2-Input OR Gate
SN74HC86N                       ,2    ,TI        ,Quadruple 2-Input XOR Gates
SN74HC139N                      ,3    ,TI        ,Dual 2:4 Decoders/Demux
SN74HC151N                      ,2    ,          ,8:1 Data Selectors/Mux
SN74HC192N                      ,1
SN74HC573L                      ,2    ,          ,
SN74HC595N                      ,2    ,NXP       ,8-Bit Shift Reg. With 3-State Output Reg.
SN74HC595N                      ,2    ,TI        ,8-Bit Shift Reg. With 3-State Output Reg.
SN74LS08N                       ,5    ,TI        ,Quadruple 2-Input AND Gates
SN74LS20N                       ,1    ,          ,Dual 4-Input Positive-NAND Gates
SN74LS47N                       ,1    ,TI        ,BCD-To-7-Segment Decoders/Drivers
SN74LS47N                       ,4    ,HLF       ,BCD-To-7-Segment Decoders/Drivers
SN74LS73N                       ,3    ,HLF       ,Dual J-K Flip-Flops With Clear
SN74LS76N                       ,4    ,HLF       ,Dual J-K Flip-Flops With Preset And Clear
SN74LS90N                       ,3    ,HLF       ,Decade counter
SN74LS93N                       ,3    ,HLF       ,4-bit binary counter
SN74LS109AN                     ,2    ,TI        ,Dual J-K Positive-Edge-Triggered Flip-Flops With Preset & Clear
SN74LS138N                      ,3    ,          ,3:8 line decoder/demux
SN74LS173AN                     ,1    ,Motorola  ,4-Bit D-Type Registers With 3-State Outputs
SN74LS194N                      ,1    ,TI        ,
SN74LS244N                      ,1    ,HLF       ,Octal Buffers and Line Drivers With 3-State Outputs
UA741CP                         ,3    ,          ,
ULN2003APG                      ,1    ,          ,Darlington array
----Inductor----
1u                              ,2    ,          ,axial

----Variable Resistors----
500o preset                     ,3
5k preset                       ,2
10k preset                      ,2
20k preset                      ,2
50k preset                      ,1
100k preset                     ,2
200k preset                     ,1
1M preset (flat)                ,1

100o multiturn                  ,2
200o multiturn                  ,2
500o multiturn                  ,2
1k multiturn                    ,2
10k multiturn                   ,2
5k multiturn                    ,3
20k multiturn                   ,1
15.1k pot                       ,1
5k pot                          ,2
10k pot                         ,3

----Resistors----
1.5o                            ,5
7.2o                            ,5
22o                             ,10
47o                             ,10
65o                             ,5    ,          ,1W
100o                            ,~31
150o                            ,11
220o                            ,21
270o                            ,20
330o                            ,14
330o                            ,8    ,          ,1/8W
470o                            ,17
510o                            ,20
560o                            ,10
620o                            ,6    ,          ,1W
750o                            ,20
820o                            ,30
1k                              ,>100
1.2k                            ,20
1.2k                            ,4    ,          ,1/8W
1.7k                            ,10
2k                              ,20
2k                              ,15   ,          ,1/8W
2.2k                            ,10
3k                              ,9
3.3k                            ,1
4.7k                            ,8
5.1k                            ,10
5.6k                            ,10
5.6k                            ,5    ,          ,1/8W
7.5k                            ,5
10k                             ,12
47k                             ,14
68k                             ,5
82k                             ,10
100k                            ,23
120k                            ,30
220k                            ,10
270k                            ,20
300k                            ,9
390k                            ,5
470k                            ,10
510k                            ,9
560k                            ,10
820k                            ,10
1M                              ,8
1M                              ,5    ,          ,1W
1.5M                            ,10
10M                             ,10

----Capacitors----
1p                              ,5    ,          ,cer
2p                              ,5    ,          ,cer
2.4p                            ,1    ,          ,cer (coll-1)
2.7p                            ,1    ,          ,cer (coll-1)
3p                              ,5    ,          ,cer
4.7p                            ,5    ,          ,cer
3.9p                            ,2    ,          ,cer
8.2p                            ,7    ,          ,cer
10p                             ,5    ,          ,cer
12p - 12K                       ,10   ,          ,tantalum
22p                             ,5    ,          ,cer
47p                             ,5    ,          ,cer
50p                             ,3    ,          ,cer
51p                             ,1    ,          ,cer (coll-1)
56p                             ,5    ,          ,cer
68p                             ,10   ,          ,cer
100p - 101                      ,5    ,          ,cer
100p - 101                      ,1    ,          ,blue (coll-1)
220p - 221                      ,2    ,          ,cer
330p - 331                      ,11   ,          ,cer
330p - 500v - 331               ,1    ,          ,cer
330p - BC391J                   ,10   ,          ,axial foil??
470p                            ,5    ,          ,cer
500p - 501                      ,1    ,          ,cer (coll-1)
680p - 681                      ,5    ,          ,cer
820p - 821J                     ,6    ,          ,polye (coll-2)
1n - 102                        ,10   ,          ,cer
1n - 630v - 2J102K              ,2    ,          ,polye
2.2n - 222                      ,1    ,          ,cer
2.2n - 1250v - 222J             ,1    ,          ,polye (coll-2)
3.3n - 100v - 2A332J            ,2    ,          ,polye
4.7n - 1250v - 472J             ,1    ,          ,polye (coll-2)
8.2n - 1250v - 822J             ,1    ,          ,polye (coll-2)
10n - 103                       ,5    ,          ,cer
15n - 153                       ,1    ,          ,cer (coll-1)
15n - 250v - 153J               ,1    ,          ,polye (coll-2)
15n - 100v - 2A153J             ,5    ,          ,polye
47n - 250v - 473J/47nJ          ,3    ,          ,polye (coll-2)
47n - 310v - 473J               ,1    ,          ,polye (coll-2)
68n - 400v - 683J               ,1    ,          ,polye (coll-2)
100n - 104                      ,8    ,          ,cer
100n - 104                      ,1    ,          ,tantalum (coll-1)
150n - 400v - 154J              ,2    ,          ,polye (coll-2)
270n - 400v - 274K              ,1    ,          ,polye (coll-2)
680n - 100v - 2A683J            ,5    ,          ,polye
1u - 105                        ,5    ,          ,tantalum
1u - 50V                        ,5    ,          ,elect
1u - 630V - 2J105K              ,2    ,          ,polye
2.2u - 25v                      ,5    ,          ,elect
10u - 50v                       ,3    ,          ,elect
10u - 63v                       ,5    ,          ,elect
22u - 25v                       ,1    ,          ,elect
22u - 50v                       ,1    ,          ,elect
100u - 25v                      ,3    ,          ,elect
220u - 16v                      ,1    ,          ,elect
varcap 20p                      ,1    ,
220pf gauge                     ,1

---Transistors----
BC139                           ,2
BC547                           ,7
BC548                           ,7
BD140                           ,1
2N2222A                         ,10
BC558                           ,1
S8550                           ,1
S8050                           ,1
TL431A                          ,1
TIP122                          ,2

----Dev boards----
arduino uno                     ,2
ESP32 NodeMCU                   ,1

----Power & Connectors----
IC base - 8 pin                 ,2
IC base - 14 pin                ,2
IC base - 16 pin                ,4
IC base - 28 pin                ,1
IC base - 40 pin                ,2
M-M  jumper                     ,60
M-F  jumper                     ,17
F-F  jumper                     ,17
female header                   ,40
male header                     ,16
aux extension                   ,1    ,          ,aux to aux
aux splitter                    ,1    ,          ,Splits audio to 2 Ch
aux breakout wire               ,1    ,          ,aux to 2 pins
USB breakout wire               ,1    ,          ,USB to 4 pins
wire connector                  ,2
breadboard                      ,4
micro usb power connector       ,3
USB A                           ,1
9v battery                      ,2
9v battery to DC jack connector ,2
9v battery connector            ,3
Type C panel mount F connector  ,1

----Diodes----
1N4007                          ,12   ,          ,General purpose Silicon Rectifier Diodes 1A 1000V
1N5408                          ,1    ,          ,Silicon Rectifier Diodes 3A 1000V

----Sensors----
joy stick                       ,1    ,
RFID reader                     ,1
RFID card                       ,1
RFID key                        ,1
IR remote                       ,1
IR tx/rx sensor module          ,2    ,
ldr                             ,4
IR photodiode 3mm               ,2
IR photodiode 5mm               ,2
TSOP38238                       ,2    ,          ,IR Transducer
103 thermistor                  ,2
keypad                          ,1
dht11                           ,1
ADXL345                         ,1    ,          ,13-bit accelerometer
BMP280                          ,1    ,          ,absolute barometric pressure
3144                            ,1    ,          ,absolute barometric pressure

----Misc----
NTC 10D-9                       ,1
rectifier                       ,1
regulator                       ,1    ,          ,???
L293D module                    ,1    ,          ,motor driver
level Converter                 ,2    ,          ,3.3v to 5v bidirectional level converter
dial tone decoder (MT8870DE)    ,1
15A fuse                        ,1
pizo buzzer                     ,2
relay SC5-S-DC5-7A 240V         ,1
servo                           ,2
DC motor                        ,6
servo shafts                    ,1
